,User_ID,Country,Age,Harry_Potter_1,A_Painted_House,Snow_Falling_on_Cedars,The_Firm,Harry_Potter_5,Ladies_Detective_Agency,The_Rainmaker,The_Bridges_of_Madison_County,A_Child_Called_It,Bridget_Jones_Diary,Stones_From_The_River,The_Perfect_Storm
9871,8,canada,35,0,0,0,0,0,0,0,0,0,0,0,0
17067,12,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
19633,22,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
16258,69,canada,35,0,0,0,0,0,0,0,0,0,0,0,0
11757,70,usa,44,0,0,0,0,0,0,0,0,0,0,0,0
12768,75,usa,37,0,0,0,0,0,0,0,0,0,0,0,0
23148,102,spain,35,0,0,0,0,0,0,0,0,0,0,0,0
17551,176,united kingdom,34,0,0,0,0,0,0,0,0,0,0,0,0
18235,183,portugal,27,0,0,0,0,0,0,0,0,0,0,0,0
5422,228,usa,41,0,0,0,0,0,0,0,0,0,0,0,0
18794,242,germany,37,0,0,0,0,0,0,0,0,0,0,0,0
6647,243,usa,35,0,1,0,0,0,0,0,0,0,0,0,0
12836,244,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
4318,254,usa,24,0,0,0,0,0,0,0,0,0,0,0,0
6648,256,usa,35,0,1,0,0,0,0,0,0,0,0,0,0
4699,300,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
14724,334,other,27,0,0,0,0,0,0,0,0,0,0,0,0
24151,337,spain,17,0,0,0,0,0,0,0,0,0,0,0,0
8959,345,usa,27,0,0,0,0,0,0,0,0,0,0,0,0
22789,361,spain,25,0,0,0,0,0,0,0,0,0,0,0,0
21769,372,germany,22,0,0,0,0,0,0,0,0,0,0,0,0
17088,383,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
22677,392,spain,44,0,0,0,0,0,0,0,0,0,0,0,0
16665,393,united kingdom,24,0,0,0,0,0,0,0,0,0,0,0,0
13379,408,usa,17,0,0,0,0,0,0,0,0,0,0,0,0
5621,446,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
23895,460,italy,35,0,0,0,0,0,0,0,0,0,0,0,0
10596,472,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
13386,476,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
8031,496,usa,51,0,0,0,0,0,0,0,0,0,0,0,0
439,505,usa,51,0,0,0,0,0,0,0,0,0,0,0,0
3802,507,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
23643,585,italy,35,0,0,0,0,0,0,0,0,0,0,0,0
15076,595,usa,17,0,0,0,0,0,0,0,0,0,0,0,0
17924,625,france,41,0,0,0,0,0,0,0,0,0,0,0,0
20656,628,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
13535,651,usa,26,0,0,0,0,0,0,0,0,0,0,0,0
4796,657,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
14804,660,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
17192,695,netherlands,35,0,0,0,0,0,0,0,0,0,0,0,0
5358,707,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
2462,709,usa,14,0,0,0,0,0,0,0,0,0,0,0,0
9108,728,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
4914,735,usa,29,0,0,0,0,0,0,0,0,0,0,0,0
12747,739,usa,55,0,0,0,0,0,0,0,0,0,0,0,0
6902,741,usa,16,0,0,0,0,0,0,0,0,0,0,0,0
5800,744,usa,48,0,0,0,0,0,0,0,0,0,0,0,0
2146,746,usa,36,0,0,0,0,0,0,0,0,0,0,0,0
9811,753,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
3372,757,usa,29,0,0,0,0,0,0,0,0,0,0,0,0
14797,765,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
21145,776,new zealand,23,0,0,0,0,0,0,0,0,0,0,0,0
5622,778,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
1698,805,usa,34,0,0,0,0,0,0,0,0,0,0,0,0
21316,811,switzerland,34,0,0,0,0,0,0,0,0,0,0,0,0
8918,818,malaysia,35,0,0,0,0,0,0,0,0,0,0,0,0
13106,834,usa,17,0,0,0,0,0,0,0,0,0,0,0,0
547,843,usa,25,0,0,0,0,0,0,0,0,0,0,0,0
19576,850,germany,22,0,0,0,0,0,0,0,0,0,0,0,0
5495,882,usa,23,0,0,1,0,0,0,0,0,0,0,0,0
18887,899,germany,23,0,0,0,0,0,0,0,0,0,0,0,0
8860,902,usa,18,0,0,0,0,0,0,0,0,0,0,0,0
18037,921,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
18506,924,france,29,0,0,0,0,0,0,0,0,0,0,0,0
9755,969,usa,13,0,0,0,0,0,0,0,0,0,0,0,0
14715,973,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
14170,1021,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
7274,1022,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
25,1025,united kingdom,33,0,0,0,0,0,0,0,0,0,0,0,0
15192,1026,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
811,1032,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
11380,1054,usa,37,0,0,0,0,0,1,0,0,0,0,0,0
4902,1057,united kingdom,19,0,0,0,0,0,0,0,0,0,0,0,0
12749,1063,canada,19,0,0,0,0,0,0,0,0,0,0,0,0
11381,1075,usa,49,0,0,0,0,0,1,0,0,0,0,0,0
12988,1082,usa,36,0,0,0,0,0,0,0,0,0,0,0,0
2363,1083,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
21161,1095,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
8436,1096,usa,18,0,0,0,0,0,0,0,0,0,0,0,0
2918,1098,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
1833,1129,usa,53,0,0,0,0,0,0,0,0,0,0,0,0
23245,1137,Spain,25,0,0,0,0,0,0,0,0,0,0,0,0
1045,1155,usa,22,0,0,0,0,0,0,0,0,0,0,0,0
18422,1166,france,22,0,0,0,0,0,0,0,0,0,0,0,0
20896,1172,germany,26,0,0,0,0,0,0,0,0,0,0,0,0
3304,1184,usa,38,0,0,0,0,0,0,0,0,0,0,0,0
2394,1211,france,22,0,0,0,0,0,0,0,0,0,0,0,0
10737,1219,malaysia,17,0,0,0,0,0,0,0,0,0,0,0,0
13174,1242,canada,25,0,0,0,0,0,0,0,0,0,0,0,0
2940,1252,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
2852,1279,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
3990,1294,canada,35,0,0,0,0,0,0,0,0,0,0,0,0
8084,1309,usa,28,0,0,0,0,0,0,0,0,0,0,0,0
23635,1314,italy,48,0,0,0,0,0,0,0,0,0,0,0,0
21493,1330,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
17720,1355,usa,71,0,0,0,0,0,0,0,0,0,0,0,0
14967,1360,usa,36,0,0,0,0,0,0,0,0,0,0,0,0
19813,1361,germany,35,0,0,0,0,0,0,0,0,0,0,0,0
19953,1372,germany,34,0,0,0,0,0,0,0,0,0,0,0,0
17653,1395,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
5977,1409,usa,74,0,0,0,0,0,0,0,0,0,0,0,0
2832,1424,australia,35,0,0,0,0,0,0,0,0,0,0,0,0
9561,1435,usa,36,0,0,0,0,0,0,0,0,0,0,0,0
6471,1436,canada,35,0,0,0,0,0,0,1,0,0,0,0,0
18348,1442,france,36,0,0,0,0,0,0,0,0,0,0,0,0
12445,1467,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
15645,1473,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
15621,1475,usa,35,0,0,0,0,0,0,0,0,0,0,0,0
